gene	table_s1_protein	raw_protein_group	table_s1_log2fc_5uM_39h	raw_log2_delta	table_s1_direction	raw_direction	direction_agreement	raw_bde_detected	raw_vehicle_detected	raw_rank_by_delta_desc	table_s1_rank_by_delta_desc	raw_percentile_by_delta	table_s1_percentile_by_delta
ALG1	ALG1_HUMAN	Q9BT22	1.017510	0.160163	increase	increase	TRUE	1	4	300	71	0.769112	0.945946
ALG11	ALG11_HUMAN	Q2TAA5	0.268148	0.569632	increase	increase	TRUE	3	4	52	418	0.960618	0.677992
ALG2	ALG2_HUMAN	Q9H553	0.639890	0.232601	increase	increase	TRUE	3	4	217	170	0.833205	0.869498
ALG3	ALG3_HUMAN	Q92685	-0.367538	0.851358	decrease	increase	FALSE	2	4	22	1064	0.983784	0.179151
ALG5	ALG5_HUMAN	Q9Y673	-0.182320	-0.292568	decrease	decrease	TRUE	3	4	1100	916	0.151351	0.293436
ALG6	ALG6_HUMAN	Q9Y672	0.605556	0.747859	increase	increase	TRUE	2	3	31	185	0.976834	0.857915
AMOT	AMOT_HUMAN	Q4VCS5	-0.399242	-0.353682	decrease	decrease	TRUE	3	4	1153	1096	0.110425	0.154440
AMPD2	AMPD2_HUMAN	Q01433	-0.070157	0.385258	decrease	increase	FALSE	3	4	102	786	0.922008	0.393822
ANO10	ANO10_HUMAN	Q9NW15	0.369167	-0.000010	increase	decrease	FALSE	3	4	610	326	0.529730	0.749035
ANO6	ANO6_HUMAN	Q4KMQ2	0.214194	-0.198481	increase	decrease	FALSE	3	4	1009	465	0.221622	0.641699
ANXA1	ANXA1_HUMAN	P04083	0.201038	0.028976	increase	increase	TRUE	3	4	553	483	0.573745	0.627799
ANXA2	ANXA2_HUMAN	P07355	0.067154	0.032433	increase	increase	TRUE	3	4	540	634	0.583784	0.511197
ANXA3	ANXA3_HUMAN	P12429	-0.048941	0.174285	decrease	increase	FALSE	3	4	283	761	0.782239	0.413127
ANXA4	ANXA4_HUMAN	P09525	0.082831	0.181400	increase	increase	TRUE	3	4	274	613	0.789189	0.527413
ANXA5	ANXA5_HUMAN	P08758	0.506731	0.157451	increase	increase	TRUE	3	4	304	238	0.766023	0.816988
ANXA6	ANXA6_HUMAN	P08133	0.378264	-0.153421	increase	decrease	FALSE	3	4	938	322	0.276448	0.752124
ANXA7	ANXA7_HUMAN	P20073	0.629310	0.234938	increase	increase	TRUE	3	4	215	178	0.834749	0.863320
AOC1	AOC1_HUMAN	P19801	-0.143082	0.113084	decrease	increase	FALSE	3	4	390	877	0.699614	0.323552
AP1B1	AP1B1_HUMAN	Q10567	-0.452369	-0.001771	decrease	decrease	TRUE	3	4	617	1129	0.524324	0.128958
AP1G1	AP1G1_HUMAN	O43747	-0.205651	0.058524	decrease	increase	FALSE	3	4	483	944	0.627799	0.271815
AP1M1	AP1M1_HUMAN	Q9BXS5;Q9Y6Q5	-0.820166	-0.022131	decrease	decrease	TRUE	3	4	668	1232	0.484942	0.049421
AP1M2	AP1M2_HUMAN	Q9Y6Q5	1.047641	0.330721	increase	increase	TRUE	3	4	128	64	0.901931	0.951351
AP1S1	AP1S1_HUMAN	P61966	-0.612944	-0.182399	decrease	decrease	TRUE	3	4	987	1196	0.238610	0.077220
AP2A1	AP2A1_HUMAN	O94973;O95782	-0.108324	0.062274	decrease	increase	FALSE	3	4	475	827	0.633977	0.362162
AP2A2	AP2A2_HUMAN	O94973	0.033956	0.101624	increase	increase	TRUE	3	4	406	664	0.687259	0.488031
AP2B1	AP2B1_HUMAN	P63010	0.024295	-0.015997	increase	decrease	FALSE	3	4	646	675	0.501931	0.479537
AP2M1	AP2M1_HUMAN	Q96CW1	-0.204118	-0.070447	decrease	decrease	TRUE	3	4	785	941	0.394595	0.274131
AP2S1	AP2S1_HUMAN	P53680	-0.033005	0.183936	decrease	increase	FALSE	3	4	268	748	0.793822	0.423166
AP3B1	AP3B1_HUMAN	O00203	-0.418321	-0.095854	decrease	decrease	TRUE	3	4	840	1112	0.352124	0.142085
AP3D1	AP3D1_HUMAN	O14617	0.027401	-0.024040	increase	decrease	FALSE	3	4	672	670	0.481853	0.483398
AP3M1	AP3M1_HUMAN	Q9Y2T2	-0.595756	0.028083	decrease	increase	FALSE	3	4	558	1188	0.569884	0.083398
AP3S1	AP3S1_HUMAN	Q92572	0.305925	0.149861	increase	increase	TRUE	3	4	326	384	0.749035	0.704247
AP4S1	AP4S1_HUMAN	Q9Y587	0.420872	0.262996	increase	increase	TRUE	3	4	178	286	0.863320	0.779923
